Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр
702;Монтаж СКС до 40 рабочих мест;Монтаж СКС до 40 робочих місць;"монтаж скс, офисная сеть, структурированная кабельная система, прокладка витой пары, подключение рабочих мест, сетевое оборудование, тестирование портов, коммутация, настройка, сервис";"монтаж скс, офісна мережа, структурована кабельна система, прокладання витої пари, підключення робочих місць, мережеве обладнання, тестування портів, комутація, налаштування, сервіс"
703;Монтаж СКС до 100 рабочих мест;Монтаж СКС до 100 робочих місць;"монтаж скс, корпоративная сеть, структурированная кабельная система, прокладка кабеля, подключение рабочих мест, серверная стойка, тестирование линий, коммутация, настройка, обслуживание";"монтаж скс, корпоративна мережа, структурована кабельна система, прокладання кабелю, підключення робочих місць, серверна стійка, тестування ліній, комутація, налаштування, обслуговування"
704;Монтаж компьютерной сети до 16 рабочих мест;Монтаж комп'ютерної мережі до 16 робочих місць;"монтаж компьютерной сети, офисная сеть, структурированная кабельная система, прокладка кабеля, подключение рабочих мест, витая пара, сетевое оборудование, тестирование линий, настройка, обслуживание, сервис, монтаж";"монтаж комп'ютерної мережі, офісна мережа, структурована кабельна система, прокладання кабелю, підключення робочих місць, вита пара, мережеве обладнання, тестування ліній, налаштування, обслуговування, сервіс, монтаж"
705;Монтаж компьютерной сети до 40 рабочих мест;Монтаж комп'ютерної мережі до 40 робочих місць;"монтаж компьютерной сети, корпоративная сеть, структурированная кабельная система, прокладка витой пары, подключение рабочих мест, сетевое оборудование, коммутация, тестирование портов, настройка, обслуживание, сервис, монтаж";"монтаж комп'ютерної мережі, корпоративна мережа, структурована кабельна система, прокладання витої пари, підключення робочих місць, мережеве обладнання, комутація, тестування портів, налаштування, обслуговування, сервіс, монтаж"
601;Установка спутниковой антенны для спутников Astra и Hot Bird;Встановлення супутникової антени для супутників Astra та Hot Bird;"установка спутниковой антенны, спутниковое телевидение, настройка сигнала, подключение телевизора, Astra, Hot Bird, тюнер, монтаж антенны, прием каналов, сервис, обслуживание";"встановлення супутникової антени, супутникове телебачення, налаштування сигналу, підключення телевізора, Astra, Hot Bird, тюнер, монтаж антени, прийом каналів, сервіс, обслуговування"
806;Ремонт спутниковых антенн;Ремонт супутникових антен;"ремонт спутниковых антенн, настройка спутниковой антенны, ремонт тюнеров, прошивка тюнера, диагностика сигнала, подключение оборудования, сервисный ремонт, выезд мастера, обслуживание, гарантия, сервис";"ремонт супутникових антен, налаштування супутникової антени, ремонт тюнерів, прошивка тюнера, діагностика сигналу, підключення обладнання, сервісний ремонт, виїзд майстра, обслуговування, гарантія, сервіс"
807;"Ремонт, прошивка тюнеров, смарт-приставок android";"Ремонт, прошивка тюнерів, смарт-приставок android";"ремонт тюнеров, прошивка тюнеров, ремонт android приставок, настройка смарт приставок, обновление прошивки, диагностика оборудования, сервисный центр, выезд мастера, обслуживание, гарантия, сервис";"ремонт тюнерів, прошивка тюнерів, ремонт android приставок, налаштування смарт приставок, оновлення прошивки, діагностика обладнання, сервісний центр, виїзд майстра, обслуговування, гарантія, сервіс"
906;Проектирование и установка  системы Умный дом в жилом комплексе;Проектування та встановлення системи Розумний будинок у житловому комплексі;"проектирование умного дома, жилой комплекс, установка системы, автоматизация, инженерные системы, управление, безопасность, освещение, климат, интеграция, настройка";"проєктування розумного будинку, житловий комплекс, встановлення системи, автоматизація, інженерні системи, керування, безпека, освітлення, клімат, інтеграція, налаштування"
501;Акустическая подготовка помещения;Акустична підготовка приміщення;"акустика помещения, акустическая обработка, звукопоглощение, коррекция звука, шумоизоляция, акустические материалы, монтаж, настройка, сервис, студия, офис";"акустика приміщення, акустична обробка, звукопоглинання, корекція звуку, шумоізоляція, акустичні матеріали, монтаж, налаштування, сервіс, студія, офіс"
505;Звукоизоляция помещений;Звукоізоляція приміщень;"звукоизоляция помещений, защита от шума, шумоизоляционные материалы, снижение шума, акустический комфорт, монтаж, установка, сервис";"звукоізоляція приміщень, захист від шуму, шумоізоляційні матеріали, зниження шуму, акустичний комфорт, монтаж, встановлення, сервіс"
